score,caminho_xyt_1,caminho_xyt_2
141,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
141,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
139,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
139,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
138,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
138,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
138,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
137,out/xyt/FVC2000_DB1_B/102_5.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
137,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
136,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
136,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
136,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
136,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
135,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
135,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
134,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
134,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
133,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
133,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
131,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
131,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
130,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
129,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
128,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
127,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
127,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
127,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
126,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
126,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
126,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
123,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
123,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
122,out/xyt/FVC2000_DB1_B/102_6.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
122,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
122,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
121,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
121,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
121,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
120,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
119,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
119,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
118,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_4.xyt
117,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
117,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_8.xyt
117,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
116,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_3.xyt
116,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
115,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
115,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
115,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
115,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
113,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
113,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
113,out/xyt/FVC2000_DB1_B/102_1.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
113,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
113,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
112,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_4.xyt
112,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
110,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
110,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
109,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
109,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
108,out/xyt/FVC2000_DB1_B/102_1.xyt,out/xyt/FVC2000_DB2_B/102_8.xyt
108,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
107,out/xyt/FVC2000_DB1_B/104_6.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
107,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
106,out/xyt/FVC2000_DB1_B/102_6.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
106,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
106,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
105,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
104,out/xyt/FVC2000_DB1_B/110_8.xyt,out/xyt/FVC2000_DB2_B/110_8.xyt
104,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
104,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_8.xyt
103,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
102,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
102,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
102,out/xyt/FVC2000_DB1_B/107_8.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
102,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
101,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
101,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_6.xyt
101,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
100,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
100,out/xyt/FVC2000_DB1_B/107_2.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
100,out/xyt/FVC2000_DB1_B/107_6.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
100,out/xyt/FVC2000_DB1_B/102_4.xyt,out/xyt/FVC2000_DB2_B/102_4.xyt
99,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_4.xyt
99,out/xyt/FVC2000_DB1_B/104_6.xyt,out/xyt/FVC2000_DB2_B/104_3.xyt
99,out/xyt/FVC2000_DB1_B/102_8.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
99,out/xyt/FVC2000_DB1_B/102_8.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
99,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_5.xyt
98,out/xyt/FVC2000_DB1_B/104_6.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
97,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
97,out/xyt/FVC2000_DB1_B/102_5.xyt,out/xyt/FVC2000_DB2_B/102_8.xyt
97,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
97,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_3.xyt
95,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
95,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
94,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_7.xyt
94,out/xyt/FVC2000_DB1_B/102_5.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
94,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
94,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
94,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
93,out/xyt/FVC2000_DB1_B/107_4.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
93,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
93,out/xyt/FVC2000_DB1_B/102_2.xyt,out/xyt/FVC2000_DB2_B/102_3.xyt
91,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
90,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
90,out/xyt/FVC2000_DB1_B/106_5.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
89,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
89,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_7.xyt
89,out/xyt/FVC2000_DB1_B/109_3.xyt,out/xyt/FVC2000_DB2_B/109_1.xyt
89,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
89,out/xyt/FVC2000_DB1_B/102_4.xyt,out/xyt/FVC2000_DB2_B/102_8.xyt
87,out/xyt/FVC2000_DB1_B/107_1.xyt,out/xyt/FVC2000_DB2_B/107_8.xyt
87,out/xyt/FVC2000_DB1_B/104_4.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
87,out/xyt/FVC2000_DB1_B/109_3.xyt,out/xyt/FVC2000_DB2_B/109_3.xyt
87,out/xyt/FVC2000_DB1_B/107_1.xyt,out/xyt/FVC2000_DB2_B/107_7.xyt
86,out/xyt/FVC2000_DB1_B/109_1.xyt,out/xyt/FVC2000_DB2_B/109_3.xyt
86,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
86,out/xyt/FVC2000_DB1_B/104_2.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
86,out/xyt/FVC2000_DB1_B/106_5.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
86,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_2.xyt
85,out/xyt/FVC2000_DB1_B/107_1.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
85,out/xyt/FVC2000_DB1_B/103_4.xyt,out/xyt/FVC2000_DB2_B/103_3.xyt
85,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
85,out/xyt/FVC2000_DB1_B/106_1.xyt,out/xyt/FVC2000_DB2_B/106_2.xyt
85,out/xyt/FVC2000_DB1_B/109_4.xyt,out/xyt/FVC2000_DB2_B/109_3.xyt
85,out/xyt/FVC2000_DB1_B/104_8.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
85,out/xyt/FVC2000_DB1_B/107_1.xyt,out/xyt/FVC2000_DB2_B/107_2.xyt
84,out/xyt/FVC2000_DB1_B/109_3.xyt,out/xyt/FVC2000_DB2_B/109_4.xyt
84,out/xyt/FVC2000_DB1_B/103_3.xyt,out/xyt/FVC2000_DB2_B/103_3.xyt
83,out/xyt/FVC2000_DB1_B/107_7.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
83,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
83,out/xyt/FVC2000_DB1_B/104_5.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
83,out/xyt/FVC2000_DB1_B/104_6.xyt,out/xyt/FVC2000_DB2_B/104_5.xyt
83,out/xyt/FVC2000_DB1_B/103_1.xyt,out/xyt/FVC2000_DB2_B/103_3.xyt
83,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_1.xyt
82,out/xyt/FVC2000_DB1_B/109_1.xyt,out/xyt/FVC2000_DB2_B/109_1.xyt
82,out/xyt/FVC2000_DB1_B/102_1.xyt,out/xyt/FVC2000_DB2_B/102_3.xyt
82,out/xyt/FVC2000_DB1_B/102_8.xyt,out/xyt/FVC2000_DB2_B/102_8.xyt
81,out/xyt/FVC2000_DB1_B/102_4.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
81,out/xyt/FVC2000_DB1_B/107_1.xyt,out/xyt/FVC2000_DB2_B/107_4.xyt
80,out/xyt/FVC2000_DB1_B/103_8.xyt,out/xyt/FVC2000_DB2_B/103_1.xyt
80,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
80,out/xyt/FVC2000_DB1_B/102_1.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
80,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
80,out/xyt/FVC2000_DB1_B/106_2.xyt,out/xyt/FVC2000_DB2_B/106_6.xyt
79,out/xyt/FVC2000_DB1_B/102_6.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
79,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_2.xyt
79,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
79,out/xyt/FVC2000_DB1_B/102_1.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
78,out/xyt/FVC2000_DB1_B/104_3.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
78,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_8.xyt
77,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
77,out/xyt/FVC2000_DB1_B/106_5.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
76,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_7.xyt
76,out/xyt/FVC2000_DB1_B/102_4.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
76,out/xyt/FVC2000_DB1_B/109_3.xyt,out/xyt/FVC2000_DB2_B/109_2.xyt
76,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_1.xyt
76,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_7.xyt
75,out/xyt/FVC2000_DB1_B/104_7.xyt,out/xyt/FVC2000_DB2_B/104_1.xyt
75,out/xyt/FVC2000_DB1_B/109_4.xyt,out/xyt/FVC2000_DB2_B/109_1.xyt
74,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_7.xyt
73,out/xyt/FVC2000_DB1_B/107_3.xyt,out/xyt/FVC2000_DB2_B/107_5.xyt
73,out/xyt/FVC2000_DB1_B/102_7.xyt,out/xyt/FVC2000_DB2_B/102_2.xyt
73,out/xyt/FVC2000_DB1_B/109_4.xyt,out/xyt/FVC2000_DB2_B/109_4.xyt
72,out/xyt/FVC2000_DB1_B/104_6.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
72,out/xyt/FVC2000_DB1_B/109_1.xyt,out/xyt/FVC2000_DB2_B/109_8.xyt
72,out/xyt/FVC2000_DB1_B/103_4.xyt,out/xyt/FVC2000_DB2_B/103_2.xyt
72,out/xyt/FVC2000_DB1_B/102_2.xyt,out/xyt/FVC2000_DB2_B/102_1.xyt
71,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_4.xyt
71,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_4.xyt
70,out/xyt/FVC2000_DB1_B/110_5.xyt,out/xyt/FVC2000_DB2_B/110_1.xyt
70,out/xyt/FVC2000_DB1_B/107_1.xyt,out/xyt/FVC2000_DB2_B/107_3.xyt
70,out/xyt/FVC2000_DB1_B/108_8.xyt,out/xyt/FVC2000_DB2_B/108_7.xyt
70,out/xyt/FVC2000_DB1_B/106_8.xyt,out/xyt/FVC2000_DB2_B/106_2.xyt
69,out/xyt/FVC2000_DB1_B/105_2.xyt,out/xyt/FVC2000_DB2_B/105_3.xyt
69,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_7.xyt
68,out/xyt/FVC2000_DB1_B/107_5.xyt,out/xyt/FVC2000_DB2_B/107_1.xyt
68,out/xyt/FVC2000_DB1_B/106_3.xyt,out/xyt/FVC2000_DB2_B/106_2.xyt
67,out/xyt/FVC2000_DB1_B/109_3.xyt,out/xyt/FVC2000_DB2_B/109_5.xyt
67,out/xyt/FVC2000_DB1_B/104_6.xyt,out/xyt/FVC2000_DB2_B/104_6.xyt
67,out/xyt/FVC2000_DB1_B/110_8.xyt,out/xyt/FVC2000_DB2_B/110_1.xyt
67,out/xyt/FVC2000_DB1_B/102_1.xyt,out/xyt/FVC2000_DB2_B/102_1.xyt
67,out/xyt/FVC2000_DB1_B/104_1.xyt,out/xyt/FVC2000_DB2_B/104_7.xyt
67,out/xyt/FVC2000_DB1_B/103_8.xyt,out/xyt/FVC2000_DB2_B/103_6.xyt
67,out/xyt/FVC2000_DB1_B/106_5.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
66,out/xyt/FVC2000_DB1_B/102_2.xyt,out/xyt/FVC2000_DB2_B/102_6.xyt
65,out/xyt/FVC2000_DB1_B/102_8.xyt,out/xyt/FVC2000_DB2_B/102_3.xyt
65,out/xyt/FVC2000_DB1_B/105_6.xyt,out/xyt/FVC2000_DB2_B/105_3.xyt
65,out/xyt/FVC2000_DB1_B/102_5.xyt,out/xyt/FVC2000_DB2_B/102_3.xyt
65,out/xyt/FVC2000_DB1_B/106_7.xyt,out/xyt/FVC2000_DB2_B/106_4.xyt
65,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_7.xyt
65,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_3.xyt
65,out/xyt/FVC2000_DB1_B/103_1.xyt,out/xyt/FVC2000_DB2_B/103_6.xyt
64,out/xyt/FVC2000_DB1_B/109_1.xyt,out/xyt/FVC2000_DB2_B/109_4.xyt
64,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_5.xyt
63,out/xyt/FVC2000_DB1_B/106_4.xyt,out/xyt/FVC2000_DB2_B/106_2.xyt
63,out/xyt/FVC2000_DB1_B/109_4.xyt,out/xyt/FVC2000_DB2_B/109_2.xyt
63,out/xyt/FVC2000_DB1_B/103_1.xyt,out/xyt/FVC2000_DB2_B/103_2.xyt
62,out/xyt/FVC2000_DB1_B/105_8.xyt,out/xyt/FVC2000_DB2_B/105_7.xyt
62,out/xyt/FVC2000_DB1_B/103_7.xyt,out/xyt/FVC2000_DB2_B/103_3.xyt
62,out/xyt/FVC2000_DB1_B/106_2.xyt,out/xyt/FVC2000_DB2_B/106_1.xyt
62,out/xyt/FVC2000_DB1_B/105_8.xyt,out/xyt/FVC2000_DB2_B/105_3.xyt
61,out/xyt/FVC2000_DB1_B/105_6.xyt,out/xyt/FVC2000_DB2_B/105_2.xyt
61,out/xyt/FVC2000_DB1_B/106_6.xyt,out/xyt/FVC2000_DB2_B/106_4.xyt
61,out/xyt/FVC2000_DB1_B/109_1.xyt,out/xyt/FVC2000_DB2_B/109_2.xyt
61,out/xyt/FVC2000_DB1_B/109_4.xyt,out/xyt/FVC2000_DB2_B/109_5.xyt
60,out/xyt/FVC2000_DB1_B/102_8.xyt,out/xyt/FVC2000_DB2_B/102_1.xyt
60,out/xyt/FVC2000_DB1_B/106_5.xyt,out/xyt/FVC2000_DB2_B/106_5.xyt
60,out/xyt/FVC2000_DB1_B/102_3.xyt,out/xyt/FVC2000_DB2_B/102_8.xyt
59,out/xyt/FVC2000_DB1_B/105_8.xyt,out/xyt/FVC2000_DB2_B/105_8.xyt
59,out/xyt/FVC2002_DB3_B/108_7.xyt,out/xyt/FVC2004_DB3_B/102_1.xyt
59,out/xyt/FVC2000_DB1_B/103_8.xyt,out/xyt/FVC2000_DB2_B/103_3.xyt
